866	Ontario	39
867	Manitoba	39
868	New Brunswick	39
869	Yukon	39
870	Saskatchewan	39
871	Prince Edward Island	39
872	Alberta	39
873	Quebec	39
874	Nova Scotia	39
875	British Columbia	39
876	Nunavut	39
877	Newfoundland and Labrador	39
878	Northwest Territories	39
1398	Howland Island	233
1399	Delaware	233
1400	Alaska	233
1401	Maryland	233
1402	Baker Island	233
1403	Kingman Reef	233
1404	New Hampshire	233
1405	Wake Island	233
1406	Kansas	233
1407	Texas	233
1408	Nebraska	233
1409	Vermont	233
1410	Jarvis Island	233
1411	Hawaii	233
1412	Guam	233
1413	United States Virgin Islands	233
1414	Utah	233
1415	Oregon	233
1416	California	233
1417	New Jersey	233
1418	North Dakota	233
1419	Kentucky	233
1420	Minnesota	233
1421	Oklahoma	233
1422	Pennsylvania	233
1423	New Mexico	233
1424	American Samoa	233
1425	Illinois	233
1426	Michigan	233
1427	Virginia	233
1428	Johnston Atoll	233
1429	West Virginia	233
1430	Mississippi	233
1431	Northern Mariana Islands	233
1432	United States Minor Outlying Islands	233
1433	Massachusetts	233
1434	Arizona	233
1435	Connecticut	233
1436	Florida	233
1437	District of Columbia	233
1438	Midway Atoll	233
1439	Navassa Island	233
1440	Indiana	233
1441	Wisconsin	233
1442	Wyoming	233
1443	South Carolina	233
1444	Arkansas	233
1445	South Dakota	233
1446	Montana	233
1447	North Carolina	233
1448	Palmyra Atoll	233
1449	Puerto Rico	233
1450	Colorado	233
1451	Missouri	233
1452	New York	233
1453	Maine	233
1454	Tennessee	233
1455	Georgia	233
1456	Alabama	233
1457	Louisiana	233
1458	Nevada	233
1459	Iowa	233
1460	Idaho	233
1461	Rhode Island	233
1462	Washington	233
3447	Chihuahua	142
3448	Oaxaca	142
3449	Sinaloa	142
3450	México	142
3451	Chiapas	142
3452	Nuevo León	142
3453	Durango	142
3454	Tabasco	142
3455	Querétaro	142
3456	Aguascalientes	142
3457	Baja California	142
3458	Tlaxcala	142
3459	Guerrero	142
3460	Baja California Sur	142
3461	San Luis Potosí	142
3462	Zacatecas	142
3463	Tamaulipas	142
3464	Veracruz	142
3465	Morelos	142
3466	Yucatán	142
3467	Quintana Roo	142
3468	Sonora	142
3469	Guanajuato	142
3470	Hidalgo	142
3471	Coahuila	142
3472	Colima	142
3473	Mexico City	142
3474	Michoacán	142
3475	Campeche	142
3476	Puebla	142
3477	Nayarit	142
4851	Ohio	233
4857	Jalisco	142
4957	AA	233
4958	AE	233
4959	AP	233
